仓库名,activity.json数据
jOOQ/jOOQ,"{'2015': 478.66, '2016': 533.1, '2017': 739.06, '2018': 795.17, '2019': 986.89, '2020': 977.95, '2021': 950.82, '2022': 962.95, '2023': 890.56, '2024': 777.8, '2015-01': 42.96, '2015-02': 42.64, '2015-03': 31.85, '2015-04': 48.95, '2015-05': 39.17, '2015-06': 32.34, '2015-07': 37.32, '2015-08': 27.14, '2015-09': 50.9, '2015-10': 47.25, '2015-11': 37.87, '2015-12': 40.26, '2016-01': 48.75, '2016-02': 40.85, '2016-03': 33.43, '2016-04': 45.46, '2016-05': 46.15, '2016-06': 58.91, '2016-07': 54.65, '2016-08': 41.93, '2016-09': 36.66, '2016-10': 41.34, '2016-11': 37.84, '2016-12': 47.13, '2017-01': 48, '2017-02': 66.48, '2017-03': 65.43, '2017-04': 53.77, '2017-05': 69.24, '2017-06': 49.45, '2017-07': 72.3, '2017-08': 47.91, '2017-09': 45.92, '2017-10': 77.67, '2017-11': 68.19, '2017-12': 74.7, '2018-01': 84.26, '2018-02': 58.37, '2018-03': 95.13, '2018-04': 59.22, '2018-05': 58.31, '2018-06': 75.27, '2018-07': 64.58, '2018-08': 77.4, '2018-09': 41.16, '2018-10': 59.15, '2018-11': 67.12, '2018-12': 55.21, '2019-01': 74.97, '2019-02': 53.59, '2019-03': 81.81, '2019-04': 83.03, '2019-05': 85.29, '2019-06': 70.41, '2019-07': 95.74, '2019-08': 105.11, '2019-09': 102.68, '2019-10': 85.28, '2019-11': 69.25, '2019-12': 79.71, '2020-01': 66.71, '2020-02': 84.58, '2020-03': 78.53, '2020-04': 81.83, '2020-05': 60.96, '2020-06': 75.64, '2020-07': 73.9, '2020-08': 63.94, '2020-09': 77.49, '2020-10': 96.92, '2020-11': 136.87, '2020-12': 80.6, '2021-01': 94.22, '2021-02': 99.49, '2021-03': 94.87, '2021-04': 46.71, '2021-05': 58.18, '2021-06': 86.11, '2021-07': 100.67, '2021-08': 77.95, '2021-09': 89.73, '2021-10': 82, '2021-11': 72.61, '2021-12': 89.84, '2022-01': 105.15, '2022-02': 108.45, '2022-03': 100.21, '2022-04': 67.64, '2022-05': 79.16, '2022-06': 72.68, '2022-07': 70.15, '2022-08': 81.93, '2022-09': 84.5, '2022-10': 63.1, '2022-11': 72.11, '2022-12': 57.86, '2023-01': 65.69, '2023-02': 89.11, '2023-03': 109.55, '2023-04': 66.7, '2023-05': 74.39, '2023-06': 78.98, '2023-07': 63.12, '2023-08': 66.84, '2023-09': 70.55, '2023-10': 66.77, '2023-11': 67.49, '2023-12': 71.37, '2024-01': 95.11, '2024-02': 82.96, '2024-03': 57.89, '2024-04': 65.28, '2024-05': 55.73, '2024-06': 68.24, '2024-07': 64.98, '2024-08': 73.53, '2024-09': 90.02, '2024-10': 60.77, '2024-11': 63.27, '2021-10-raw': 40.44, '2015Q1': 117.46, '2015Q2': 120.47, '2015Q3': 115.35, '2015Q4': 125.38, '2016Q1': 123.03, '2016Q2': 150.53, '2016Q3': 133.25, '2016Q4': 126.3, '2017Q1': 179.91, '2017Q2': 172.46, '2017Q3': 166.13, '2017Q4': 220.56, '2018Q1': 237.76, '2018Q2': 192.8, '2018Q3': 183.13, '2018Q4': 181.47, '2019Q1': 210.38, '2019Q2': 238.73, '2019Q3': 303.54, '2019Q4': 234.24, '2020Q1': 229.81, '2020Q2': 218.43, '2020Q3': 215.33, '2020Q4': 314.38, '2021Q1': 288.58, '2021Q2': 191, '2021Q3': 268.35, '2021Q4': 202.89, '2022Q1': 313.81, '2022Q2': 219.48, '2022Q3': 236.59, '2022Q4': 193.07, '2023Q1': 264.35, '2023Q2': 220.07, '2023Q3': 200.52, '2023Q4': 205.63, '2024Q1': 235.96, '2024Q2': 189.26, '2024Q3': 228.54, '2024Q4': 124.05}"
square/okio,"{'2015': 157.6, '2016': 220.07, '2017': 150.85, '2018': 323.85, '2019': 259.32, '2020': 312.57, '2021': 280.97, '2022': 169.24, '2023': 320.22, '2024': 229.98, '2015-01': 12.53, '2015-02': 21.54, '2015-03': 23.4, '2015-04': 17.6, '2015-05': 17.13, '2015-06': 13.23, '2015-07': 14.4, '2015-08': 11.98, '2015-09': 7.15, '2015-10': 3.92, '2015-11': 6.36, '2015-12': 8.36, '2016-01': 21.4, '2016-02': 29.89, '2016-03': 10.56, '2016-04': 29.17, '2016-05': 15.26, '2016-06': 19.51, '2016-07': 20.77, '2016-08': 26.69, '2016-09': 12.63, '2016-10': 14.33, '2016-11': 8.32, '2016-12': 11.55, '2017-01': 17.6, '2017-02': 17.42, '2017-03': 18.33, '2017-04': 20.45, '2017-05': 17.34, '2017-06': 1.66, '2017-07': 7.51, '2017-08': 5.62, '2017-09': 14.86, '2017-10': 1.02, '2017-11': 22.46, '2017-12': 6.58, '2018-01': 19.79, '2018-02': 38.8, '2018-03': 21.21, '2018-04': 46.55, '2018-05': 39.05, '2018-06': 15.12, '2018-07': 28.64, '2018-08': 25.13, '2018-09': 26.14, '2018-10': 28.91, '2018-11': 25.58, '2018-12': 8.94, '2019-01': 22.65, '2019-02': 4.96, '2019-03': 19.86, '2019-04': 50.91, '2019-05': 10.77, '2019-06': 22.99, '2019-07': 21.57, '2019-08': 28.43, '2019-09': 11.19, '2019-10': 23.19, '2019-11': 23.6, '2019-12': 19.2, '2020-01': 12.29, '2020-02': 19.29, '2020-03': 14.12, '2020-04': 7.35, '2020-05': 34.39, '2020-06': 22.76, '2020-07': 18.96, '2020-08': 29.59, '2020-09': 26.96, '2020-10': 33.51, '2020-11': 43.05, '2020-12': 50.3, '2021-01': 30.52, '2021-02': 28.39, '2021-03': 15.3, '2021-04': 26.56, '2021-05': 26.45, '2021-06': 28.26, '2021-07': 19.18, '2021-08': 23.27, '2021-09': 35.08, '2021-10': 25, '2021-11': 16.97, '2021-12': 18.76, '2022-01': 15.37, '2022-02': 14.65, '2022-03': 22.87, '2022-04': 10.57, '2022-05': 3.71, '2022-06': 15.48, '2022-07': 18.26, '2022-08': 28.72, '2022-09': 13.25, '2022-10': 4.49, '2022-11': 5.73, '2022-12': 16.15, '2023-01': 36.97, '2023-02': 25.75, '2023-03': 21.88, '2023-04': 13.58, '2023-05': 15.44, '2023-06': 29.23, '2023-07': 44.57, '2023-08': 33.66, '2023-09': 29.9, '2023-10': 27.88, '2023-11': 8.86, '2023-12': 32.51, '2024-01': 15.39, '2024-02': 39.62, '2024-03': 32.07, '2024-04': 23.35, '2024-05': 18.65, '2024-06': 13.98, '2024-07': 13.74, '2024-08': 18.01, '2024-09': 20.16, '2024-10': 20.3, '2024-11': 14.71, '2021-10-raw': 12.22, '2015Q1': 57.47, '2015Q2': 47.96, '2015Q3': 33.53, '2015Q4': 18.64, '2016Q1': 61.84, '2016Q2': 63.94, '2016Q3': 60.09, '2016Q4': 34.2, '2017Q1': 53.34, '2017Q2': 39.45, '2017Q3': 28, '2017Q4': 30.06, '2018Q1': 79.8, '2018Q2': 100.72, '2018Q3': 79.91, '2018Q4': 63.42, '2019Q1': 47.46, '2019Q2': 84.67, '2019Q3': 61.2, '2019Q4': 65.99, '2020Q1': 45.7, '2020Q2': 64.5, '2020Q3': 75.51, '2020Q4': 126.86, '2021Q1': 74.22, '2021Q2': 81.28, '2021Q3': 77.53, '2021Q4': 47.95, '2022Q1': 52.88, '2022Q2': 29.76, '2022Q3': 60.23, '2022Q4': 26.37, '2023Q1': 84.6, '2023Q2': 58.25, '2023Q3': 108.13, '2023Q4': 69.25, '2024Q1': 87.08, '2024Q2': 55.98, '2024Q3': 51.91, '2024Q4': 35.01}"
alibaba/fastjson2,"{'2022': 1321.61, '2023': 1475.03, '2024': 1231.51, '2022-04': 110.32, '2022-05': 283.45, '2022-06': 196.28, '2022-07': 129.37, '2022-08': 153.1, '2022-09': 116.07, '2022-10': 112.13, '2022-11': 122.1, '2022-12': 98.78, '2023-01': 77, '2023-02': 112.66, '2023-03': 162.09, '2023-04': 172.35, '2023-05': 136.77, '2023-06': 121.28, '2023-07': 112, '2023-08': 149.94, '2023-09': 111.08, '2023-10': 84.73, '2023-11': 101.64, '2023-12': 133.5, '2024-01': 129.1, '2024-02': 69.8, '2024-03': 123.21, '2024-04': 146.26, '2024-05': 128.29, '2024-06': 117.66, '2024-07': 116.92, '2024-08': 96.68, '2024-09': 108.19, '2024-10': 126.53, '2024-11': 68.87, '2022Q2': 590.06, '2022Q3': 398.54, '2022Q4': 333.01, '2023Q1': 351.75, '2023Q2': 430.39, '2023Q3': 373.01, '2023Q4': 319.87, '2024Q1': 322.1, '2024Q2': 392.2, '2024Q3': 321.8, '2024Q4': 195.41}"
quarkusio/quarkus,"{'2019': 5691.88, '2020': 10190, '2021': 9911.79, '2022': 9054.14, '2023': 9518.43, '2024': 8396.94, '2019-03': 480.34, '2019-04': 505.81, '2019-05': 425.38, '2019-06': 438.76, '2019-07': 475.88, '2019-08': 502.56, '2019-09': 522.44, '2019-10': 776.63, '2019-11': 907.77, '2019-12': 656.32, '2020-01': 762.14, '2020-02': 792.67, '2020-03': 974.36, '2020-04': 890.93, '2020-05': 900.67, '2020-06': 954.18, '2020-07': 956.26, '2020-08': 769.93, '2020-09': 894.78, '2020-10': 859.63, '2020-11': 731.65, '2020-12': 702.8, '2021-01': 873.63, '2021-02': 922.94, '2021-03': 949.44, '2021-04': 955.23, '2021-05': 797.7, '2021-06': 818.99, '2021-07': 985.4, '2021-08': 733.87, '2021-09': 861.13, '2021-10': 845, '2021-11': 914.14, '2021-12': 756.05, '2022-01': 825.74, '2022-02': 799.27, '2022-03': 747.6, '2022-04': 733.26, '2022-05': 781.69, '2022-06': 700.73, '2022-07': 710.79, '2022-08': 767.92, '2022-09': 807.67, '2022-10': 718.32, '2022-11': 791.43, '2022-12': 669.74, '2023-01': 855.41, '2023-02': 847.79, '2023-03': 873.75, '2023-04': 789.68, '2023-05': 825.8, '2023-06': 872.7, '2023-07': 814.84, '2023-08': 712.66, '2023-09': 741.86, '2023-10': 776.06, '2023-11': 791.25, '2023-12': 616.62, '2024-01': 758.91, '2024-02': 749.65, '2024-03': 793.55, '2024-04': 747.91, '2024-05': 684.51, '2024-06': 733.63, '2024-07': 813.03, '2024-08': 812.75, '2024-09': 823.43, '2024-10': 744.55, '2024-11': 735.01, '2021-10-raw': 343.27, '2019Q1': 480.34, '2019Q2': 1369.95, '2019Q3': 1500.88, '2019Q4': 2340.71, '2020Q1': 2529.17, '2020Q2': 2745.77, '2020Q3': 2620.98, '2020Q4': 2294.08, '2021Q1': 2746.01, '2021Q2': 2571.93, '2021Q3': 2580.39, '2021Q4': 2013.46, '2022Q1': 2372.61, '2022Q2': 2215.68, '2022Q3': 2286.37, '2022Q4': 2179.48, '2023Q1': 2576.96, '2023Q2': 2488.18, '2023Q3': 2269.36, '2023Q4': 2183.93, '2024Q1': 2302.11, '2024Q2': 2166.05, '2024Q3': 2449.21, '2024Q4': 1479.56}"
vavr-io/vavr,"{'2015': 516.98, '2016': 934.4, '2017': 639.47, '2018': 285.55, '2019': 322.43, '2020': 160.42, '2021': 150.92, '2022': 59.19, '2023': 74.75, '2024': 179.15, '2015-01': 12.94, '2015-02': 6.03, '2015-03': 6.66, '2015-04': 27.65, '2015-05': 59.1, '2015-06': 36.58, '2015-07': 38.64, '2015-08': 55.65, '2015-09': 68.02, '2015-10': 39.41, '2015-11': 81.98, '2015-12': 84.32, '2016-01': 58.57, '2016-02': 67.54, '2016-03': 82.92, '2016-04': 71.49, '2016-05': 67.39, '2016-06': 61.36, '2016-07': 75.62, '2016-08': 86.57, '2016-09': 70.69, '2016-10': 76.73, '2016-11': 118.68, '2016-12': 96.85, '2017-01': 73.76, '2017-02': 65.44, '2017-03': 69.75, '2017-04': 57.45, '2017-05': 45.62, '2017-06': 39.74, '2017-07': 40.08, '2017-08': 28.72, '2017-09': 66.14, '2017-10': 66.12, '2017-11': 52.38, '2017-12': 34.27, '2018-01': 21.91, '2018-02': 18.22, '2018-03': 48.36, '2018-04': 23.61, '2018-05': 19.01, '2018-06': 16.87, '2018-07': 30.46, '2018-08': 23.86, '2018-09': 23.11, '2018-10': 33.16, '2018-11': 16.99, '2018-12': 9.98, '2019-01': 32.44, '2019-02': 12.02, '2019-03': 35.32, '2019-04': 19.9, '2019-05': 6.18, '2019-06': 21.14, '2019-07': 63.98, '2019-08': 34.19, '2019-09': 16.29, '2019-10': 19.6, '2019-11': 24.42, '2019-12': 36.95, '2020-01': 22.87, '2020-02': 8.63, '2020-03': 19.91, '2020-04': 7.08, '2020-05': 47.06, '2020-06': 5, '2020-07': 9.15, '2020-08': 10.41, '2020-09': 8.61, '2020-10': 5.62, '2020-11': 5.39, '2020-12': 10.69, '2021-01': 11.95, '2021-02': 18.22, '2021-03': 10.23, '2021-04': 17.82, '2021-05': 27.3, '2021-06': 16.19, '2021-07': 5.81, '2021-08': 4.65, '2021-09': 8.14, '2021-10': 10, '2021-11': 11.5, '2021-12': 17.86, '2022-01': 12.77, '2022-02': 8.04, '2022-03': 8.12, '2022-04': 7.78, '2022-05': 4.92, '2022-06': 2.77, '2022-07': 4.24, '2022-08': 0.72, '2022-09': 1.45, '2022-10': 3.79, '2022-11': 4.59, '2023-01': 12.09, '2023-02': 9.79, '2023-04': 18.94, '2023-05': 12.91, '2023-06': 1.49, '2023-07': 4.15, '2023-08': 1.49, '2023-09': 1.45, '2023-11': 4.03, '2023-12': 8.41, '2024-01': 6.87, '2024-03': 0.72, '2024-04': 12.08, '2024-05': 5.9, '2024-06': 12.37, '2024-07': 21.35, '2024-08': 25.69, '2024-09': 40.35, '2024-10': 36.32, '2024-11': 17.48, '2021-10-raw': 1.26, '2015Q1': 25.63, '2015Q2': 123.33, '2015Q3': 162.31, '2015Q4': 205.71, '2016Q1': 209.02, '2016Q2': 200.24, '2016Q3': 232.88, '2016Q4': 292.26, '2017Q1': 208.95, '2017Q2': 142.81, '2017Q3': 134.94, '2017Q4': 152.77, '2018Q1': 88.49, '2018Q2': 59.49, '2018Q3': 77.43, '2018Q4': 60.14, '2019Q1': 79.78, '2019Q2': 47.22, '2019Q3': 114.45, '2019Q4': 80.97, '2020Q1': 51.41, '2020Q2': 59.14, '2020Q3': 28.17, '2020Q4': 21.7, '2021Q1': 40.39, '2021Q2': 61.3, '2021Q3': 18.6, '2021Q4': 30.62, '2022Q1': 28.92, '2022Q2': 15.47, '2022Q3': 6.41, '2022Q4': 8.38, '2023Q1': 21.88, '2023Q2': 33.34, '2023Q3': 7.09, '2023Q4': 12.43, '2024Q1': 7.59, '2024Q2': 30.36, '2024Q3': 87.39, '2024Q4': 53.81}"
neo4j/neo4j,"{'2015': 2889.56, '2016': 2999.03, '2017': 2670.82, '2018': 1926.19, '2019': 749.76, '2020': 666.77, '2021': 424.96, '2022': 452.93, '2023': 673.24, '2024': 474.76, '2015-01': 209.6, '2015-02': 205.75, '2015-03': 232.45, '2015-04': 243.28, '2015-05': 204.53, '2015-06': 246.88, '2015-07': 216.38, '2015-08': 225.62, '2015-09': 263.39, '2015-10': 323.45, '2015-11': 261.69, '2015-12': 256.54, '2016-01': 231.39, '2016-02': 261.63, '2016-03': 299.57, '2016-04': 251.32, '2016-05': 298.22, '2016-06': 256, '2016-07': 238.07, '2016-08': 238.36, '2016-09': 272.37, '2016-10': 256.49, '2016-11': 218.87, '2016-12': 176.73, '2017-01': 221.89, '2017-02': 231.52, '2017-03': 232.87, '2017-04': 181.97, '2017-05': 237.15, '2017-06': 215.16, '2017-07': 178.48, '2017-08': 235.55, '2017-09': 259.89, '2017-10': 244.46, '2017-11': 240.72, '2017-12': 191.16, '2018-01': 278.36, '2018-02': 250.98, '2018-03': 300.6, '2018-04': 259.14, '2018-05': 253.42, '2018-06': 115.83, '2018-07': 94.6, '2018-08': 72.27, '2018-09': 51.06, '2018-10': 94.53, '2018-11': 94.23, '2018-12': 61.15, '2019-01': 87.55, '2019-02': 68.33, '2019-03': 60.98, '2019-04': 56.61, '2019-05': 59.29, '2019-06': 47.1, '2019-07': 49.42, '2019-08': 71.74, '2019-09': 61.6, '2019-10': 63.49, '2019-11': 65.54, '2019-12': 58.12, '2020-01': 59.54, '2020-02': 61.66, '2020-03': 70.47, '2020-04': 69.99, '2020-05': 63.12, '2020-06': 47.34, '2020-07': 46.62, '2020-08': 41.93, '2020-09': 53.97, '2020-10': 60.68, '2020-11': 43.77, '2020-12': 47.69, '2021-01': 49.18, '2021-02': 29.87, '2021-03': 46.88, '2021-04': 38.37, '2021-05': 47.42, '2021-06': 24.59, '2021-07': 38.73, '2021-08': 39.69, '2021-09': 15.56, '2021-10': 29, '2021-11': 26.98, '2021-12': 54.11, '2022-01': 44.87, '2022-02': 20.64, '2022-03': 31.97, '2022-04': 34.15, '2022-05': 25.54, '2022-06': 32.34, '2022-07': 21.02, '2022-08': 42.69, '2022-09': 46.65, '2022-10': 42.22, '2022-11': 48.29, '2022-12': 62.55, '2023-01': 46.28, '2023-02': 45.65, '2023-03': 61.31, '2023-04': 84.11, '2023-05': 41.7, '2023-06': 67.85, '2023-07': 53.33, '2023-08': 57.44, '2023-09': 69.07, '2023-10': 53.03, '2023-11': 63.42, '2023-12': 30.06, '2024-01': 54.64, '2024-02': 42.7, '2024-03': 51.35, '2024-04': 39.98, '2024-05': 33.77, '2024-06': 43.62, '2024-07': 48.48, '2024-08': 46.32, '2024-09': 33.65, '2024-10': 38.74, '2024-11': 41.52, '2021-10-raw': 13.57, '2015Q1': 647.8, '2015Q2': 694.68, '2015Q3': 705.4, '2015Q4': 841.69, '2016Q1': 792.59, '2016Q2': 805.54, '2016Q3': 748.8, '2016Q4': 652.09, '2017Q1': 686.28, '2017Q2': 634.27, '2017Q3': 673.92, '2017Q4': 676.34, '2018Q1': 829.95, '2018Q2': 628.4, '2018Q3': 217.93, '2018Q4': 249.92, '2019Q1': 216.86, '2019Q2': 163, '2019Q3': 182.75, '2019Q4': 187.15, '2020Q1': 191.67, '2020Q2': 180.45, '2020Q3': 142.51, '2020Q4': 152.14, '2021Q1': 125.93, '2021Q2': 110.38, '2021Q3': 93.99, '2021Q4': 94.66, '2022Q1': 97.48, '2022Q2': 92.03, '2022Q3': 110.36, '2022Q4': 153.06, '2023Q1': 153.23, '2023Q2': 193.66, '2023Q3': 179.84, '2023Q4': 146.5, '2024Q1': 148.68, '2024Q2': 117.37, '2024Q3': 128.44, '2024Q4': 80.26}"
elastic/elasticsearch,"{'2015': 9260.51, '2016': 9497.47, '2017': 8769.19, '2018': 10176.4, '2019': 12525.61, '2020': 13396.68, '2021': 11138.58, '2022': 9928.14, '2023': 9958.31, '2024': 11277.96, '2015-01': 626.45, '2015-02': 620.25, '2015-03': 807.97, '2015-04': 850.04, '2015-05': 736.7, '2015-06': 767.53, '2015-07': 787.96, '2015-08': 750.78, '2015-09': 776.53, '2015-10': 750.23, '2015-11': 912.67, '2015-12': 873.41, '2016-01': 830.1, '2016-02': 843.44, '2016-03': 820.12, '2016-04': 835.92, '2016-05': 792.83, '2016-06': 814.16, '2016-07': 721.4, '2016-08': 786.49, '2016-09': 657.23, '2016-10': 707.65, '2016-11': 914.7, '2016-12': 773.42, '2017-01': 758.38, '2017-02': 781.88, '2017-03': 814.32, '2017-04': 776.75, '2017-05': 832.98, '2017-06': 736.51, '2017-07': 719.01, '2017-08': 739.19, '2017-09': 638.84, '2017-10': 635.16, '2017-11': 665.19, '2017-12': 670.99, '2018-01': 708.96, '2018-02': 665.48, '2018-03': 795.22, '2018-04': 673.65, '2018-05': 852.92, '2018-06': 896.81, '2018-07': 901.88, '2018-08': 931.09, '2018-09': 865.29, '2018-10': 955.43, '2018-11': 999.4, '2018-12': 930.28, '2019-01': 1045.42, '2019-02': 1098.25, '2019-03': 1102.8, '2019-04': 1033.3, '2019-05': 1042.92, '2019-06': 993.98, '2019-07': 1097.19, '2019-08': 1011.29, '2019-09': 1014.31, '2019-10': 1184.86, '2019-11': 996.12, '2019-12': 905.16, '2020-01': 1116.35, '2020-02': 1099.73, '2020-03': 1270.46, '2020-04': 1257.78, '2020-05': 1098.2, '2020-06': 1112.15, '2020-07': 1179.1, '2020-08': 954.55, '2020-09': 1107.27, '2020-10': 1070.82, '2020-11': 1017.94, '2020-12': 1112.32, '2021-01': 1035.83, '2021-02': 1075.74, '2021-03': 1058.26, '2021-04': 1070.62, '2021-05': 811.84, '2021-06': 1013.44, '2021-07': 913.96, '2021-08': 900.55, '2021-09': 999.62, '2021-10': 935, '2021-11': 880.92, '2021-12': 946.73, '2022-01': 1006.68, '2022-02': 915.39, '2022-03': 974.75, '2022-04': 768.13, '2022-05': 851.42, '2022-06': 823.69, '2022-07': 759.5, '2022-08': 833.57, '2022-09': 819.6, '2022-10': 721.45, '2022-11': 801.08, '2022-12': 652.87, '2023-01': 745.95, '2023-02': 779.7, '2023-03': 733.29, '2023-04': 740.14, '2023-05': 761.6, '2023-06': 794.69, '2023-07': 801, '2023-08': 916.29, '2023-09': 866.71, '2023-10': 1006.7, '2023-11': 980.21, '2023-12': 832.03, '2024-01': 1005.34, '2024-02': 842.52, '2024-03': 961.57, '2024-04': 994.17, '2024-05': 1020.55, '2024-06': 947.47, '2024-07': 970.51, '2024-08': 926.16, '2024-09': 1068.54, '2024-10': 1362.86, '2024-11': 1178.26, '2021-10-raw': 431.07, '2015Q1': 2054.67, '2015Q2': 2354.27, '2015Q3': 2315.27, '2015Q4': 2536.3, '2016Q1': 2493.67, '2016Q2': 2442.91, '2016Q3': 2165.13, '2016Q4': 2395.77, '2017Q1': 2354.58, '2017Q2': 2346.24, '2017Q3': 2097.04, '2017Q4': 1971.34, '2018Q1': 2169.66, '2018Q2': 2423.38, '2018Q3': 2698.25, '2018Q4': 2885.11, '2019Q1': 3246.48, '2019Q2': 3070.2, '2019Q3': 3122.8, '2019Q4': 3086.14, '2020Q1': 3486.55, '2020Q2': 3468.13, '2020Q3': 3240.93, '2020Q4': 3201.08, '2021Q1': 3169.83, '2021Q2': 2895.89, '2021Q3': 2814.13, '2021Q4': 2258.73, '2022Q1': 2896.82, '2022Q2': 2443.24, '2022Q3': 2412.67, '2022Q4': 2175.41, '2023Q1': 2258.95, '2023Q2': 2296.43, '2023Q3': 2583.99, '2023Q4': 2818.94, '2024Q1': 2809.43, '2024Q2': 2962.19, '2024Q3': 2965.22, '2024Q4': 2541.12}"
infinispan/infinispan,"{'2015': 999.38, '2016': 1105.97, '2017': 1314.12, '2018': 1171.12, '2019': 1156.44, '2020': 1308, '2021': 970.52, '2022': 907.31, '2023': 999.58, '2024': 1107.99, '2015-01': 86.94, '2015-02': 51.25, '2015-03': 103.44, '2015-04': 100.92, '2015-05': 95.63, '2015-06': 73.54, '2015-07': 97.52, '2015-08': 93.52, '2015-09': 62.47, '2015-10': 84.22, '2015-11': 81.83, '2015-12': 68.09, '2016-01': 85.6, '2016-02': 95.3, '2016-03': 117.83, '2016-04': 109.44, '2016-05': 107.26, '2016-06': 78.89, '2016-07': 76.34, '2016-08': 86.55, '2016-09': 74.98, '2016-10': 97.97, '2016-11': 89.45, '2016-12': 86.36, '2017-01': 109.93, '2017-02': 134.28, '2017-03': 153.29, '2017-04': 95.18, '2017-05': 101.18, '2017-06': 136.27, '2017-07': 106.38, '2017-08': 84.43, '2017-09': 98.81, '2017-10': 108.27, '2017-11': 99.63, '2017-12': 86.46, '2018-01': 103.37, '2018-02': 113.72, '2018-03': 120.72, '2018-04': 79.4, '2018-05': 98.86, '2018-06': 107.21, '2018-07': 91.2, '2018-08': 81.33, '2018-09': 79.76, '2018-10': 96.28, '2018-11': 107.47, '2018-12': 91.8, '2019-01': 74.83, '2019-02': 80.49, '2019-03': 86.73, '2019-04': 65.37, '2019-05': 112.48, '2019-06': 109.66, '2019-07': 105.16, '2019-08': 79.29, '2019-09': 113.42, '2019-10': 135.16, '2019-11': 100.93, '2019-12': 92.93, '2020-01': 101.65, '2020-02': 134.77, '2020-03': 126.42, '2020-04': 145.64, '2020-05': 139.52, '2020-06': 110.36, '2020-07': 99.44, '2020-08': 70.28, '2020-09': 103.22, '2020-10': 105.73, '2020-11': 84.22, '2020-12': 86.76, '2021-01': 68.99, '2021-02': 81.94, '2021-03': 106.57, '2021-04': 94.74, '2021-05': 108.16, '2021-06': 76.86, '2021-07': 77.59, '2021-08': 61.21, '2021-09': 86.46, '2021-10': 80, '2021-11': 82.79, '2021-12': 79.01, '2022-01': 76.27, '2022-02': 86.84, '2022-03': 93.06, '2022-04': 82.62, '2022-05': 73.22, '2022-06': 62.05, '2022-07': 72.59, '2022-08': 57.52, '2022-09': 84.25, '2022-10': 82.1, '2022-11': 72.88, '2022-12': 63.92, '2023-01': 66.45, '2023-02': 51.99, '2023-03': 80.54, '2023-04': 87.57, '2023-05': 109.83, '2023-06': 76.82, '2023-07': 89.8, '2023-08': 78.78, '2023-09': 94.98, '2023-10': 93.65, '2023-11': 89.16, '2023-12': 80, '2024-01': 112.63, '2024-02': 106.81, '2024-03': 110.97, '2024-04': 82.54, '2024-05': 85.08, '2024-06': 93.01, '2024-07': 90.63, '2024-08': 97.08, '2024-09': 106.37, '2024-10': 134.59, '2024-11': 88.28, '2021-10-raw': 46.21, '2015Q1': 241.63, '2015Q2': 270.09, '2015Q3': 253.52, '2015Q4': 234.14, '2016Q1': 298.72, '2016Q2': 295.59, '2016Q3': 237.87, '2016Q4': 273.78, '2017Q1': 397.5, '2017Q2': 332.64, '2017Q3': 289.62, '2017Q4': 294.36, '2018Q1': 337.82, '2018Q2': 285.47, '2018Q3': 252.29, '2018Q4': 295.55, '2019Q1': 242.04, '2019Q2': 287.5, '2019Q3': 297.88, '2019Q4': 329.02, '2020Q1': 362.84, '2020Q2': 395.52, '2020Q3': 272.94, '2020Q4': 276.71, '2021Q1': 257.5, '2021Q2': 279.76, '2021Q3': 225.26, '2021Q4': 208.01, '2022Q1': 256.17, '2022Q2': 217.9, '2022Q3': 214.35, '2022Q4': 218.89, '2023Q1': 198.98, '2023Q2': 274.23, '2023Q3': 263.56, '2023Q4': 262.82, '2024Q1': 330.41, '2024Q2': 260.63, '2024Q3': 294.08, '2024Q4': 222.87}"
